id	season	category	name	start	end
RAIN_20182019_1	2018-2019	Lluvias intensas	Episodio de lluvias intensas 1	08/10/2018	09/10/2018
RAIN_20182019_2	2018-2019	Lluvias intensas	Episodio de lluvias intensas 2	18/10/2018	19/10/2018
RAIN_20182019_3	2018-2019	Lluvias intensas	Episodio de lluvias intensas 3	20/10/2018	21/10/2018
LOWS_20182019_A	2018-2019	Borrasca	Borrasca Adrian	29/10/2018	29/10/2018
LOWS_20182019_B	2018-2019	Borrasca	Borrasca Beatriz	06/11/2018	07/11/2018
LOWS_20182019_C	2018-2019	Borrasca	Borrasca Carlos	18/11/2018	18/11/2018
LOWS_20182019_D	2018-2019	Borrasca	Borrasca Diana	28/11/2018	29/11/2018
LOWS_20182019_F	2018-2019	Borrasca	Borrasca Flora	13/12/2018	14/12/2018
COLD_20182019_1	2018-2019	Ola de frío	Ola de frío 1	04/01/2019	08/01/2019
COLD_20182019_2	2018-2019	Ola de frío	Ola de frío 2	11/01/2019	13/01/2019
LOWS_20182019_G	2018-2019	Borrasca	Borrasca Gabriel	29/01/2019	30/01/2019
LOWS_20182019_H	2018-2019	Borrasca	Borrasca Helena	31/01/2019	02/02/2019
LOWS_20182019_L	2018-2019	Borrasca	Borrasca Laura	05/03/2019	06/03/2019
LOWS_20182019_M	2018-2019	Borrasca	Borrasca Miguel	06/06/2019	07/06/2019
HEAT_20182019_1	2018-2019	Ola de calor	Ola de calor 1	26/06/2019	01/07/2019
RAIN_20182019_4	2018-2019	Lluvias intensas	Episodio de lluvias intensas 4	08/07/2019	09/07/2019
RAIN_20182019_5	2018-2019	Lluvias intensas	Episodio de lluvias intensas 5	11/07/2019	12/07/2019
RAIN_20182019_6	2018-2019	Lluvias intensas	Episodio de lluvias intensas 6	19/07/2019	21/07/2019
HEAT_20182019_2	2018-2019	Ola de calor	Ola de calor 2	20/07/2019	25/07/2019
HEAT_20182019_3	2018-2019	Ola de calor	Ola de calor 3	06/08/2019	10/08/2019
RAIN_20192020_1	2019-2020	Lluvias intensas	Episodio de lluvias intensas 1	10/09/2019	15/09/2019
LOWS_20192020_A	2019-2020	Borrasca	Borrasca Amelie	03/11/2019	03/11/2019
LOWS_20192020_B	2019-2020	Borrasca	Borrasca Bernardo	10/11/2019	11/11/2019
LOWS_20192020_C	2019-2020	Borrasca	Borrasca Cecilia	22/11/2019	23/11/2019
RAIN_20192020_2	2019-2020	Lluvias intensas	Episodio de lluvias intensas 2	02/12/2019	04/12/2019
RAIN_20192020_3	2019-2020	Lluvias intensas	Episodio de lluvias intensas 3	12/12/2019	12/12/2019
LOWS_20192020_D	2019-2020	Borrasca	Borrasca Daniel	16/12/2019	16/12/2019
LOWS_20192020_E	2019-2020	Borrasca	Borrasca Elsa	18/12/2019	20/12/2019
LOWS_20192020_F	2019-2020	Borrasca	Borrasca Fabien	21/12/2019	22/12/2019
LOWS_20192020_G	2019-2020	Borrasca	Borrasca Gloria	19/01/2020	21/01/2020
LOWS_20192020_H	2019-2020	Borrasca	Borrasca Herve	04/02/2020	05/02/2020
LOWS_20192020_J	2019-2020	Borrasca	Borrasca Jorge	28/02/2020	29/02/2020
LOWS_20192020_L	2019-2020	Borrasca	Borrasca Leon	01/03/2020	01/03/2020
LOWS_20192020_K	2019-2020	Borrasca	Borrasca Karine	02/03/2020	02/03/2020
LOWS_20192020_M	2019-2020	Borrasca	Borrasca Myriam	03/03/2020	04/03/2020
LOWS_20192020_N	2019-2020	Borrasca	Borrasca Norberto	05/03/2020	06/03/2020
RAIN_20192020_4	2019-2020	Lluvias intensas	Episodio de lluvias intensas 4	30/03/2020	31/03/2020
HEAT_20192020_1	2019-2020	Ola de calor	Ola de calor 1	25/07/2020	02/08/2020
HEAT_20192020_2	2019-2020	Ola de calor	Ola de calor 2	06/08/2020	10/08/2020
RAIN_20192020_5	2019-2020	Lluvias intensas	Episodio de lluvias intensas 5	11/08/2020	12/08/2020
LOWS_20202021_A	2020-2021	Borrasca	Borrasca Alex	01/10/2020	03/10/2020
LOWS_20202021_B	2020-2021	Borrasca	Borrasca Barbara	20/10/2020	21/10/2020
RAIN_20202021_1	2020-2021	Lluvias intensas	Episodio de lluvias intensas 1	04/11/2020	05/11/2020
LOWS_20202021_D	2020-2021	Borrasca	Borrasca Dora	04/12/2020	06/12/2020
LOWS_20202021_E	2020-2021	Borrasca	Borrasca Ernest	07/12/2020	08/12/2020
COLD_20202021_1	2020-2021	Ola de frío	Ola de frío 1	05/01/2021	08/01/2021
RAIN_20202021_2	2020-2021	Lluvias intensas	Episodio de lluvias intensas 2	05/01/2021	09/01/2021
LOWS_20202021_F	2020-2021	Borrasca	Borrasca Filomena	08/01/2021	10/01/2021
COLD_20202021_2	2020-2021	Ola de frío	Ola de frío 2	11/01/2021	18/01/2021
LOWS_20202021_G	2020-2021	Borrasca	Borrasca Gaetan	19/01/2021	20/01/2021
LOWS_20202021_H	2020-2021	Borrasca	Borrasca Hortense	21/01/2021	22/01/2021
LOWS_20202021_I	2020-2021	Borrasca	Borrasca Ignacio	23/01/2021	24/01/2021
LOWS_20202021_J	2020-2021	Borrasca	Borrasca Justine	30/01/2021	31/01/2021
LOWS_20202021_K	2020-2021	Borrasca	Borrasca Karim	19/02/2021	21/02/2021
LOWS_20202021_L	2020-2021	Borrasca	Borrasca Lola	23/04/2021	27/04/2021
RAIN_20202021_3	2020-2021	Lluvias intensas	Episodio de lluvias intensas 3	14/07/2021	18/07/2021
HEAT_20202021_1	2020-2021	Ola de calor	Ola de calor 1	21/07/2021	23/07/2021
HEAT_20202021_2	2020-2021	Ola de calor	Ola de calor 2	11/08/2021	16/08/2021
HEAT_20202021_3	2020-2021	Ola de calor	Ola de calor 3	15/08/2021	19/08/2021
HEAT_20212022_1	2021-2022	Ola de calor	Ola de calor 1	05/09/2021	07/09/2021
HEAT_20212022_2	2021-2022	Ola de calor	Ola de calor 2	11/09/2021	13/09/2021
LOWS_20212022_B	2021-2022	Borrasca	Borrasca Blas	06/11/2021	10/11/2021
COLD_20212022_1	2021-2022	Ola de frío	Ola de frío 1	14/01/2022	18/01/2022
LOWS_20212022_C	2021-2022	Borrasca	Borrasca Celia	12/03/2022	15/03/2022
LOWS_20212022_E	2021-2022	Borrasca	Borrasca Evelyn	11/04/2022	11/04/2022
RAIN_20212022_1	2021-2022	Lluvias intensas	Episodio de lluvias intensas 1	02/05/2022	04/05/2022
HEAT_20212022_3	2021-2022	Ola de calor	Ola de calor 3	12/06/2022	18/06/2022
HEAT_20212022_4	2021-2022	Ola de calor	Ola de calor 4	09/07/2022	26/07/2022
HEAT_20212022_5	2021-2022	Ola de calor	Ola de calor 5	30/07/2022	15/08/2022
LOWS_20222023_A	2022-2023	Borrasca	Borrasca Armand	19/10/2022	21/10/2022
LOWS_20222023_B	2022-2023	Borrasca	Borrasca Béatrice	22/10/2022	23/10/2022
LOWS_20222023_C	2022-2023	Borrasca	Borrasca Claudio	31/10/2022	31/10/2022
LOWS_20222023_D	2022-2023	Borrasca	Borrasca Denise	22/11/2022	22/11/2022
LOWS_20222023_E	2022-2023	Borrasca	Borrasca Efraín	12/12/2022	14/12/2022
LOWS_20222023_G	2022-2023	Borrasca	Borrasca Gérard	16/01/2023	16/01/2023
LOWS_20222023_F	2022-2023	Borrasca	Borrasca Fien	17/01/2023	18/01/2023
LOWS_20222023_H	2022-2023	Borrasca	Borrasca Hannelore	19/01/2023	22/01/2023
LOWS_20222023_I	2022-2023	Borrasca	Borrasca Isaack	06/02/2023	10/02/2023
LOWS_20222023_J	2022-2023	Borrasca	Borrasca Juliette	26/02/2023	28/02/2023
LOWS_20222023_L	2022-2023	Borrasca	Borrasca Larisa	08/03/2023	10/03/2023
LOWS_20222023_M	2022-2023	Borrasca	Borrasca Mathis	30/03/2023	31/03/2023
LOWS_20222023_N	2022-2023	Borrasca	Borrasca Noa	12/04/2023	13/04/2023
LOWS_20222023_O	2022-2023	Borrasca	Borrasca Oscar	06/06/2023	08/06/2023
