geocode	region	area	province	maximum_temperature_yellow_warning	maximum_temperature_orange_warning	maximum_temperature_red_warning	minimum_temperature_yellow_warning	minimum_temperature_orange_warning	minimum_temperature_red_warning	wind_speed_yellow_warning	wind_speed_orange_warning	wind_speed_red_warning	precipitation_12h_yellow_warning	precipitation_12h_orange_warning	precipitation_12h_red_warning	precipitation_1h_yellow_warning	precipitation_1h_orange_warning	precipitation_1h_red_warning	snowfall_24h_yellow_warning	snowfall_24h_orange_warning	snowfall_24h_red_warning
610401	Andalucía	Valle del Almanzora y Los Vélez	Almería	38	40	44	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
610402	Andalucía	Nacimiento y Campo de Tabernas	Almería	38	40	44	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
610403	Andalucía	Poniente y Almería Capital	Almería	36	39	42	-1	-4	-8	70	90	130	40	80	120	15	30	60	2	5	20
610404	Andalucía	Levante almeriense	Almería	36	39	42	-1	-4	-8	70	90	130	40	80	120	15	30	60	2	5	20
611101	Andalucía	Grazalema	Cádiz	38	40	44	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
611102	Andalucía	Campiña gaditana	Cádiz	38	40	44	-1	-4	-8	70	90	130	40	80	120	15	30	60	2	5	20
611103	Andalucía	Litoral gaditano	Cádiz	36	39	42	-1	-4	-8	70	90	130	40	80	120	15	30	60	2	5	20
611104	Andalucía	Estrecho	Cádiz	36	39	42	-1	-4	-8	80	100	140	40	80	120	15	30	60	2	5	20
611401	Andalucía	Sierra y Pedroches	Córdoba	38	40	44	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
611402	Andalucía	Campiña cordobesa	Córdoba	38	40	44	-1	-4	-8	70	90	130	40	80	120	15	30	60	2	5	20
611403	Andalucía	Subbética cordobesa	Córdoba	38	40	44	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
611801	Andalucía	Cuenca del Genil	Granada	38	40	44	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
611802	Andalucía	Guadix y Baza	Granada	38	40	44	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
611803	Andalucía	Nevada y Alpujarras	Granada	36	39	42	-4	-8	-12	80	100	140	40	80	120	15	30	60	5	20	40
611804	Andalucía	Costa granadina	Granada	36	39	42	-1	-4	-8	70	90	130	40	80	120	15	30	60	2	5	20
612101	Andalucía	Aracena	Huelva	38	40	44	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
612102	Andalucía	Andévalo y Condado	Huelva	38	40	44	-1	-4	-8	70	90	130	40	80	120	15	30	60	2	5	20
612103	Andalucía	Litoral de Huelva	Huelva	36	39	42	-1	-4	-8	70	90	130	40	80	120	15	30	60	2	5	20
612301	Andalucía	Morena y Condado	Jaén	38	40	44	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
612302	Andalucía	Cazorla y Segura	Jaén	38	40	44	-4	-8	-12	70	90	130	40	80	120	15	30	60	5	20	40
612303	Andalucía	Valle del Guadalquivir de Jaén	Jaén	38	40	44	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
612304	Andalucía	Capital y Montes de Jaén	Jaén	38	40	44	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
612901	Andalucía	Antequera	Málaga	38	40	44	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
612902	Andalucía	Ronda	Málaga	38	40	44	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
612903	Andalucía	Sol y Guadalhorce	Málaga	36	39	42	-1	-4	-8	70	90	130	40	80	120	15	30	60	2	5	20
612904	Andalucía	Axarquía	Málaga	36	39	42	-1	-4	-8	70	90	130	40	80	120	15	30	60	2	5	20
614101	Andalucía	Sierra norte de Sevilla	Sevilla	38	40	44	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
614102	Andalucía	Campiña sevillana	Sevilla	38	40	44	-1	-4	-8	70	90	130	40	80	120	15	30	60	2	5	20
614103	Andalucía	Sierra sur de Sevilla	Sevilla	38	40	44	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
622201	Aragón	Pirineo oscense	Huesca	34	37	40	-6	-10	-14	80	100	140	40	80	120	15	30	60	5	20	40
622202	Aragón	Centro de Huesca	Huesca	36	39	42	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
622203	Aragón	Sur de Huesca	Huesca	36	39	42	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
624401	Aragón	Albarracín y Jiloca	Teruel	36	39	42	-6	-10	-14	80	100	140	40	80	120	15	30	60	5	20	40
624402	Aragón	Gúdar y Maestrazgo	Teruel	36	39	42	-6	-10	-14	80	100	140	40	80	120	15	30	60	5	20	40
624403	Aragón	Bajo Aragón de Teruel	Teruel	36	39	42	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
625001	Aragón	Cinco Villas de Zaragoza	Zaragoza	36	39	42	-4	-8	-12	70	90	130	40	80	120	15	30	60	2	5	20
625002	Aragón	Ibérica zaragozana	Zaragoza	36	39	42	-4	-8	-12	80	100	140	40	80	120	15	30	60	5	20	40
