season	category	name	start	end
2018-2019	Lluvias intensas	Episodio de lluvias intensas 1 (2018-2019)	08/10/2018	09/10/2018
2018-2019	Lluvias intensas	Episodio de lluvias intensas 2 (2018-2019)	18/10/2018	19/10/2018
2018-2019	Lluvias intensas	Episodio de lluvias intensas 3 (2018-2019)	20/10/2018	21/10/2018
2018-2019	Borrasca	Borrasca Adrian (2018-2019)	29/10/2018	29/10/2018
2018-2019	Borrasca	Borrasca Beatriz (2018-2019)	06/11/2018	07/11/2018
2018-2019	Borrasca	Borrasca Carlos (2018-2019)	18/11/2018	18/11/2018
2018-2019	Borrasca	Borrasca Diana (2018-2019)	28/11/2018	29/11/2018
2018-2019	Borrasca	Borrasca Flora (2018-2019)	13/12/2018	14/12/2018
2018-2019	Ola de frío	Ola de frío 1 (2018-2019)	04/01/2019	08/01/2019
2018-2019	Ola de frío	Ola de frío 2 (2018-2019)	11/01/2019	13/01/2019
2018-2019	Borrasca	Borrasca Gabriel (2018-2019)	29/01/2019	30/01/2019
2018-2019	Borrasca	Borrasca Helena (2018-2019)	31/01/2019	02/02/2019
2018-2019	Borrasca	Borrasca Laura (2018-2019)	05/03/2019	06/03/2019
2018-2019	Borrasca	Borrasca Miguel (2018-2019)	06/06/2019	07/06/2019
2018-2019	Ola de calor	Ola de calor 1 (2018-2019)	26/06/2019	01/07/2019
2018-2019	Lluvias intensas	Episodio de lluvias intensas 4 (2018-2019)	08/07/2019	09/07/2019
2018-2019	Lluvias intensas	Episodio de lluvias intensas 5 (2018-2019)	11/07/2019	12/07/2019
2018-2019	Lluvias intensas	Episodio de lluvias intensas 6 (2018-2019)	19/07/2019	21/07/2019
2018-2019	Ola de calor	Ola de calor 2 (2018-2019)	20/07/2019	25/07/2019
2018-2019	Ola de calor	Ola de calor 3 (2018-2019)	06/08/2019	10/08/2019
2019-2020	Lluvias intensas	Episodio de lluvias intensas 1 (2019-2020)	10/09/2019	15/09/2019
2019-2020	Borrasca	Borrasca Amelie (2019-2020)	03/11/2019	03/11/2019
2019-2020	Borrasca	Borrasca Bernardo (2019-2020)	10/11/2019	11/11/2019
2019-2020	Borrasca	Borrasca Cecilia (2019-2020)	22/11/2019	23/11/2019
2019-2020	Lluvias intensas	Episodio de lluvias intensas 2 (2019-2020)	02/12/2019	04/12/2019
2019-2020	Lluvias intensas	Episodio de lluvias intensas 3 (2019-2020)	12/12/2019	12/12/2019
2019-2020	Borrasca	Borrasca Daniel (2019-2020)	16/12/2019	16/12/2019
2019-2020	Borrasca	Borrasca Elsa (2019-2020)	18/12/2019	20/12/2019
2019-2020	Borrasca	Borrasca Fabien (2019-2020)	21/12/2019	22/12/2019
2019-2020	Borrasca	Borrasca Gloria (2019-2020)	19/01/2020	21/01/2020
2019-2020	Borrasca	Borrasca Herve (2019-2020)	04/02/2020	05/02/2020
2019-2020	Borrasca	Borrasca Jorge (2019-2020)	28/02/2020	29/02/2020
2019-2020	Borrasca	Borrasca Leon (2019-2020)	01/03/2020	01/03/2020
2019-2020	Borrasca	Borrasca Karine (2019-2020)	02/03/2020	02/03/2020
2019-2020	Borrasca	Borrasca Myriam (2019-2020)	03/03/2020	04/03/2020
2019-2020	Borrasca	Borrasca Norberto (2019-2020)	05/03/2020	06/03/2020
2019-2020	Lluvias intensas	Episodio de lluvias intensas 4 (2019-2020)	30/03/2020	31/03/2020
2019-2020	Ola de calor	Ola de calor 1 (2019-2020)	25/07/2020	02/08/2020
2019-2020	Ola de calor	Ola de calor 2 (2019-2020)	06/08/2020	10/08/2020
2019-2020	Lluvias intensas	Episodio de lluvias intensas 5 (2019-2020)	11/08/2020	12/08/2020
2020-2021	Borrasca	Borrasca Alex (2020-2021)	01/10/2020	03/10/2020
2020-2021	Borrasca	Borrasca Barbara (2020-2021)	20/10/2020	21/10/2020
2020-2021	Lluvias intensas	Episodio de lluvias intensas 1 (2020-2021)	04/11/2020	05/11/2020
2020-2021	Borrasca	Borrasca Dora (2020-2021)	04/12/2020	06/12/2020
2020-2021	Borrasca	Borrasca Ernest (2020-2021)	07/12/2020	08/12/2020
2020-2021	Ola de frío	Ola de frío 1 (2020-2021)	05/01/2021	08/01/2021
2020-2021	Lluvias intensas	Episodio de lluvias intensas 2 (2020-2021)	05/01/2021	09/01/2021
2020-2021	Borrasca	Borrasca Filomena (2020-2021)	08/01/2021	10/01/2021
2020-2021	Ola de frío	Ola de frío 2 (2020-2021)	11/01/2021	18/01/2021
2020-2021	Borrasca	Borrasca Gaetan (2020-2021)	19/01/2021	20/01/2021
2020-2021	Borrasca	Borrasca Hortense (2020-2021)	21/01/2021	22/01/2021
2020-2021	Borrasca	Borrasca Ignacio (2020-2021)	23/01/2021	24/01/2021
2020-2021	Borrasca	Borrasca Justine (2020-2021)	30/01/2021	31/01/2021
2020-2021	Borrasca	Borrasca Karim (2020-2021)	19/02/2021	21/02/2021
2020-2021	Borrasca	Borrasca Lola (2020-2021)	23/04/2021	27/04/2021
2020-2021	Lluvias intensas	Episodio de lluvias intensas 3 (2020-2021)	14/07/2021	18/07/2021
2020-2021	Ola de calor	Ola de calor 1 (2020-2021)	21/07/2021	23/07/2021
2020-2021	Ola de calor	Ola de calor 2 (2020-2021)	11/08/2021	16/08/2021
2020-2021	Ola de calor	Ola de calor 3 (2020-2021)	15/08/2021	19/08/2021
2021-2022	Ola de calor	Ola de calor 1 (2021-2022)	05/09/2021	07/09/2021
2021-2022	Ola de calor	Ola de calor 2 (2021-2022)	11/09/2021	13/09/2021
2021-2022	Borrasca	Borrasca Blas (2021-2022)	06/11/2021	10/11/2021
2021-2022	Ola de frío	Ola de frío 1 (2021-2022)	14/01/2022	18/01/2022
2021-2022	Borrasca	Borrasca Celia (2021-2022)	12/03/2022	15/03/2022
2021-2022	Borrasca	Borrasca Evelyn (2021-2022)	11/04/2022	11/04/2022
2021-2022	Lluvias intensas	Episodio de lluvias intensas 1 (2021-2022)	02/05/2022	04/05/2022
2021-2022	Ola de calor	Ola de calor 3 (2021-2022)	12/06/2022	18/06/2022
2021-2022	Ola de calor	Ola de calor 4 (2021-2022)	09/07/2022	26/07/2022
2021-2022	Ola de calor	Ola de calor 5 (2021-2022)	30/07/2022	15/08/2022
2022-2023	Borrasca	Borrasca Armand (2022-2023)	19/10/2022	21/10/2022
2022-2023	Borrasca	Borrasca Béatrice (2022-2023)	22/10/2022	23/10/2022
2022-2023	Borrasca	Borrasca Claudio (2022-2023)	31/10/2022	31/10/2022
2022-2023	Borrasca	Borrasca Denise (2022-2023)	22/11/2022	22/11/2022
2022-2023	Borrasca	Borrasca Efraín (2022-2023)	12/12/2022	14/12/2022
2022-2023	Borrasca	Borrasca Gérard (2022-2023)	16/01/2023	16/01/2023
2022-2023	Borrasca	Borrasca Fien (2022-2023)	17/01/2023	18/01/2023
2022-2023	Borrasca	Borrasca Hannelore (2022-2023)	19/01/2023	22/01/2023
2022-2023	Borrasca	Borrasca Isaack (2022-2023)	06/02/2023	10/02/2023
2022-2023	Borrasca	Borrasca Juliette (2022-2023)	26/02/2023	28/02/2023
2022-2023	Borrasca	Borrasca Larisa (2022-2023)	08/03/2023	10/03/2023
2022-2023	Borrasca	Borrasca Mathis (2022-2023)	30/03/2023	31/03/2023
2022-2023	Borrasca	Borrasca Noa (2022-2023)	12/04/2023	13/04/2023
2022-2023	Borrasca	Borrasca Oscar (2022-2023)	06/06/2023	08/06/2023
2022-2023	Ola de calor	Ola de calor 1 (2022-2023)	09/07/2023	12/07/2023
2022-2023	Borrasca	Borrasca Patricia (2022-2023)	02/08/2023	03/08/2023
2023-2024	Lluvias intensas	Episodio de lluvias intensas 1 (2023-2024)	01/09/2023	02/09/2023
2023-2024	Lluvias intensas	Episodio de lluvias intensas 2 (2023-2024)	11/06/2024	11/06/2024
2023-2024	Ola de calor	Ola de calor 2 (2023-2024)	23/07/2024	12/08/2024
2023-2024	Lluvias intensas	Episodio de lluvias intensas 3 (2023-2024)	15/08/2024	15/08/2024
