idema	name	province	latitude	longitude	altitude
B013X	Escorca, Lluc	Illes Balears	39.82333333333334	2.8858333333333333	490
B051A	Sóller, Puerto	Illes Balears	39.79555555555555	2.691388888888889	5
B087X	Banyalbufar	Illes Balears	39.689166666666665	2.512777777777778	60
B103B	Andratx - Sant Elm	Illes Balears	39.57944444444445	2.368888888888889	52
B158X	Calvià, Es Capdellà	Illes Balears	39.55138888888889	2.466388888888889	50
B228	Palma, Puerto	Illes Balears	39.55416666666667	2.625277777777778	3
B236C	Palma, Universitat	Illes Balears	39.64222222222222	2.6438888888888887	95
B248	Sierra De Alfabia, Bunyola	Illes Balears	39.735	2.7130555555555556	1030
B275E	Son Bonet, Aeropuerto	Baleares	39.60583333333334	2.706666666666667	49
B278	Palma De Mallorca, Aeropuerto	Baleares	39.56083333333333	2.736666666666667	8
B301	Llucmajor, Cap Blanc	Illes Balears	39.37972222222222	2.7849999999999997	113
B334X	Llucmajor	Illes Balears	39.495555555555555	2.8916666666666666	140
B341X	Porreres	Illes Balears	39.50611111111111	3.0055555555555555	149
B346X	Porreres	Illes Balears	39.52166666666667	3.0191666666666666	120
B362X	Campos, Can Sion	Illes Balears	39.405833333333334	3.0641666666666665	40
B373X	Campos, Salines Llevant	Illes Balears	39.35111111111111	3.0119444444444445	3
B398A	Cabrera, Parque Nacional De Cabrera	Illes Balears	39.135555555555555	2.936666666666667	165
B410B	Santanyí	Illes Balears	39.34	3.1458333333333335	45
B434X	Portocolom  	Illes Balears	39.41444444444444	3.2716666666666665	17
B496X	Son Servera	Illes Balears	39.63027777777778	3.383611111111111	25
B526X	Artà	Illes Balears	39.68861111111111	3.3511111111111114	110
B569X	Capdepera	Illes Balears	39.71666666666667	3.4780555555555557	57
B603X	Artà-Colònia De Sant Pere	Illes Balears	39.723055555555554	3.278611111111111	99
B605X	Muro, S'Albufera	Illes Balears	39.79666666666667	3.104722222222222	2
B614E	Manacor	Illes Balears	39.55694444444444	3.217777777777778	100
B640X	Petra	Illes Balears	39.61638888888889	3.121111111111111	95
B644B	Sineu	Illes Balears	39.64333333333333	3.002222222222222	120
